Node	Average_Approximated_BC	Total/Numssp
2238	9.100579944547602e-05	0.0005512
7261	0.00016007207017263074	0.0006571999999999999
6517	5.291994766208314e-05	0.0013143999999999999
5707	6.237826134556726e-05	0.0009752000000000002
9220	0.0001274448345791196	0.0012084
9469	2.5566687549276073e-05	0.0038792
7511	0.00011465016631625087	0.001166
2266	6.093460169515517e-05	0.0011236000000000002
2264	3.068130450157125e-05	0.0022472
8529	0.0001611604445906747	0.0022046
2583	6.052734799857783e-05	0.0021198
8058	3.695409859630863e-05	0.0024804
5213	1.183877403889405e-05	0.004409
7490	1.7673538061560586e-05	0.0030315999999999997
7324	3.0511863026993443e-05	0.001908
7497	4.6030157036461893e-07	0.19417060000000003
6618	2.119025500215355e-06	0.11682020000000001
8055	2.4382178001734837e-05	0.0052784
9468	8.973412566729802e-05	0.0018656000000000002
4	6.21257054682927e-05	0.0009327999999999999
8836	4.860401878344899e-05	0.0020775999999999998
5180	3.3556977719764175e-05	0.0017807999999999997
8837	5.547904256678249e-07	0.24262840000000002
6841	9.864332193204989e-05	0.0065926
249	3.8961176318634865e-05	0.0018444
6842	4.0263256672465106e-05	0.0052994
4822	2.6780132246605378e-05	0.0038155999999999997
40	1.615003880786753e-05	0.0035825999999999996
4638	8.651906236115824e-06	0.0061898000000000005
2267	7.003814394976674e-07	0.12182300000000001
